File Name,Signature Text,Legibility Rating (1–5),Comments / Notes,File Name,Anthony - Legible or Illegible,Assigned Number,Anthony - Type Name,Average,Final Assignment
sig001.jpg,Ruma Jy,3,Stylized cursive; last name abbreviated/unclear,sig001.jpg,Illegible,1,Rudy,2,Illegible
sig002.jpg,B. Navya,4,Clear initials and first name; good spacing,sig002.jpg,Legible,5,B. Navya,4.5,Legible
sig003.jpg,V. Jyothi,4,Initial with clear full first name,sig003.jpg,Legible,5,V. Jyothi,4.5,Legible
sig004.jpg,Jabeena,4,Readable single-name signature,sig004.jpg,Legible,5,Jabeena,4.5,Legible
sig005.jpg,Saniya,3,Loops and flourishes reduce clarity slightly,sig005.jpg,Legible,5,Saniya,4,Legible
sig006.jpg,G. Preethi,4,Clear initial and name; confident strokes,sig006.jpg,Legible,5,G. Preetti,4.5,Legible
sig007.jpg,M. Nikhitha,4,Well-formed letters; easy to distinguish,sig007.jpg,Legible,5,M. Nikhitha,4.5,Legible
sig008.jpg,Venkay,2,Highly stylized; letter forms ambiguous,sig008.jpg,Illegible,1,V Daky,1.5,Illegible
sig009.jpg,Kalyani,3,Readable but light strokes,sig009.jpg,Legible,5,Kelyoru,4,Legible
sig010.jpg,Bathyuska,2,Unusual letter connections lower readability,sig010.jpg,Legible,5,Prathyusha,3.5,Legible
sig011.jpg,Kalyani,4,Clear and evenly spaced letters,sig011.jpg,Legible,5,Kalyani,4.5,Legible
sig012.jpg,Navya,4,Simple and clean single-name signature,sig012.jpg,Legible,5,Navya,4.5,Legible
sig013.jpg,Mochang,2,Overlapping strokes obscure characters,sig013.jpg,Legible,5,Md. Chang,3.5,Legible
sig014.jpg,Shahana,4,Neatly written; consistent lettering,sig014.jpg,Legible,5,Shahana,4.5,Legible
sig015.jpg,Prabhath,4,Clear printed-letter style,sig015.jpg,Legible,5,Prabhalh,4.5,Legible
sig016.jpg,Hari Purnachary,4,Clearly spaced first and last name,sig016.jpg,Legible,5,Haripurnachary,4.5,Legible
sig017.jpg,S. Abhi,4,Initial with clear short name,sig017.jpg,Illegible,1,S. Abhj,2.5,Illegible
sig018.jpg,Raji,2,Mostly symbolic; letters not fully formed,sig018.jpg,Illegible,1,Cuy,1.5,Illegible
sig019.jpg,K. Karthik,4,Clear initial and full first name,sig019.jpg,Legible,5,K. Karthik,4.5,Legible
sig020.jpg,Rohith,4,Printed-style letters; high clarity,sig020.jpg,Legible,5,Rohitl,4.5,Legible
sig021.jpg,Raji,2,Highly stylized flourish; minimal letter detail,sig021.jpg,Illegible,1,Guy,1.5,Illegible
sig022.jpg,(Unclear),1,Signature cut off or incomplete,sig022.jpg,Illegible,1,Hyan,1,Illegible
sig023.jpg,Ankitha,4,Neat and readable single name,sig023.jpg,Legible,5,Ankitha,4.5,Legible
